,IMDB,Metascore,Name,Votes,Year,Metascore_10
288,7.7,86.0,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,4460,2019,8.6
289,7.3,76.0,Hail Satan?,4460,2019,7.6
290,5.6,31.0,The Last Laugh,4445,2019,3.1
291,6.7,68.0,"Bikram: Yogi, Guru, Predator",4355,2019,6.8
292,6.4,72.0,Extra Ordinary,4129,2019,7.2
293,7.5,54.0,Ne Zha zhi mo tong jiang shi,4041,2019,5.4
294,5.1,15.0,The Courier,4037,2019,1.5
295,6.5,84.0,Synonymes,3937,2019,8.4
296,6.7,65.0,Mine 9,3878,2019,6.5
297,6.2,50.0,After the Wedding,3849,2019,5.0
298,6.8,65.0,Le daim,3828,2019,6.5
299,4.8,49.0,Downhill,3762,2020,4.9
300,7.9,81.0,A Vida Invisível,3686,2019,8.1
301,7.0,55.0,Mientras dure la guerra,3671,2019,5.5
302,6.1,49.0,Don't Let Go,3546,2019,4.9
303,6.1,61.0,Daniel Isn't Real,3518,2019,6.1
304,6.6,52.0,The Last Full Measure,3493,2019,5.2
305,4.4,40.0,Domino,3445,2019,4.0
306,7.5,85.0,Born in China,3422,2019,8.5
307,4.4,39.0,A Madea Family Funeral,3387,2019,3.9
308,5.9,60.0,Little Joe,3360,2019,6.0
309,6.4,41.0,I Still Believe,3345,2020,4.1
310,4.8,32.0,Primal,3316,2019,3.2
311,5.8,36.0,Poms,3304,2019,3.6
312,6.2,56.0,Finding Steve McQueen,3285,2019,5.6
313,4.7,36.0,Lucy in the Sky,3273,2019,3.6
314,5.6,42.0,Killerman,3251,2019,4.2
315,6.8,65.0,Photograph,3243,2019,6.5
316,6.4,72.0,Blow the Man Down,3222,2019,7.2
317,5.3,50.0,Lying and Stealing,3182,2019,5.0
318,6.3,51.0,Human Capital,3151,2019,5.1
319,6.9,77.0,Hatsukoi,3149,2019,7.7
320,6.1,75.0,True History of the Kelly Gang,3142,2019,7.5
321,6.6,75.0,The Personal History of David Copperfield,3140,2019,7.5
322,5.6,51.0,Satanic Panic,3069,2019,5.1
323,6.3,69.0,The Death of Dick Long,3068,2019,6.9
324,4.6,25.0,Cold Blood Legacy,3065,2019,2.5
325,4.6,37.0,A Score to Settle,3039,2019,3.7
326,5.7,55.0,Nancy Drew and the Hidden Staircase,3034,2019,5.5
327,6.5,17.0,Overcomer,3030,2019,1.7
328,6.8,64.0,Mr. Jones,3006,2019,6.4
329,6.4,57.0,La paranza dei bambini,2965,2019,5.7
330,5.6,47.0,The Operative,2957,2019,4.7
331,2.8,8.0,The Haunting of Sharon Tate,2952,2019,0.8
